t,x,y,z,vx,vy,vz
0,0,0,0,1,0,0
0.0314159,0.031408176878879084,-0.0004933584887266767,0,0.99950664151127333,-0.031408176878879084,0
0.0628319,0.062785362776400927,-0.0019729471497099095,0,0.99802705285029014,-0.062785362776400927,0
0.0942478,0.094100597290535715,-0.0044373060476982588,0,0.99556269395230179,-0.094100597290535715,0
0.125664,0.12532298114773543,-0.0078840035579285407,0,0.99211599644207149,-0.12532298114773543,0
0.15708,0.15642170669177163,-0.012309638765451266,0,0.98769036123454879,-0.15642170669177163,0
0.188496,0.18736608828217283,-0.017709844820871158,0,0.98229015517912888,-0.18736608828217283,0
0.219911,0.21812559257226696,-0.024079293249191582,0,0.97592070675080844,-0.21812559257226696,0
0.251327,0.24866986863695298,-0.031411699207511308,0,0.9685883007924887,-0.24866986863695298,0
0.282743,0.27896877792047381,-0.039699827686385677,0,0.96030017231361431,-0.27896877792047381,0
0.314159,0.30899242397464111,-0.048935500648733268,0,0.95106449935126669,-0.30899242397464111,0
0.345575,0.33871118195816813,-0.059109605099243928,0,0.94089039490075599,-0.33871118195816813,0
0.376991,0.36809572786800376,-0.070212102076325958,0,0.929787897923674,-0.36809572786800376,0
0.408407,0.39711706747382397,-0.082232036557719934,0,0.91776796344228007,-0.39711706747382397,0
0.439823,0.42574656492713125,-0.095157548270005193,0,0.90484245172999478,-0.42574656492713125,0
0.471239,0.45395597101673252,-0.10897588339133296,0,0.89102411660866698,-0.45395597101673252,0
0.502655,0.48171745104271524,-0.12367340713583888,0,0.87632659286416104,-0.48171745104271524,0
0.534071,0.50900361228141855,-0.13923561720731772,0,0.86076438279268219,-0.50900361228141855,0
0.565487,0.53578753101429877,-0.15564715810888527,0,0.8443528418911147,-0.53578753101429877,0
0.596903,0.56204277909401934,-0.17289183629450774,0,0.82710816370549223,-0.56204277909401934,0
0.628319,0.5877434500215527,-0.1909526361474487,0,0.80904736385255127,-0.5877434500215527,0
0.659734,0.61286418450856284,-0.20981173676986686,0,0.79018826323013314,-0.61286418450856284,0
0.69115,0.63738019549984526,-0.22945052956699857,0,0.77054947043300148,-0.63738019549984526,0
0.722566,0.66126729263113548,-0.2498496366085742,0,0.75015036339142582,-0.66126729263113548,0
0.753982,0.68450190609815198,-0.27098892974935096,0,0.72901107025064904,-0.68450190609815198,0
0.785398,0.70706110991332216,-0.29284755048989547,0,0.70715244951010447,-0.70706110991332216,0
0.816814,0.72892264452724387,-0.31540393055801935,0,0.68459606944198059,-0.72892264452724387,0
0.84823,0.75006493879256042,-0.33863581319055946,0,0.66136418680944054,-0.75006493879256042,0
0.879646,0.7704671312485778,-0.36252027509450407,0,0.63747972490549598,-0.7704671312485778,0
0.911062,0.79010909070562241,-0.38703374906579524,0,0.61296625093420487,-0.79010909070562241,0
0.942478,0.8089714361088276,-0.41215204724348908,0,0.58784795275651103,-0.8089714361088276,0
0.973894,0.82703555566174936,-0.437850384976329,0,0.56214961502367111,-0.82703555566174936,0
1.00531,0.84428362519094213,-0.46410340527818161,0,0.5358965947218185,-0.84428362519094213,0
1.03673,0.86069862573337308,-0.49088520384820572,0,0.50911479615179445,-0.86069862573337308,0
1.06814,0.8762643603293222,-0.5181693546310655,0,0.48183064536893466,-0.8762643603293222,0
1.09956,0.89096547000419701,-0.54592893589196811,0,0.45407106410803205,-0.89096547000419701,0
1.13097,0.90478744892349405,-0.57413655678079645,0,0.42586344321920372,-0.90478744892349405,0
1.16239,0.91771665870595154,-0.60276438435912594,0,0.39723561564087428,-0.91771665870595154,0
1.19381,0.92974034188077204,-0.63178417106345741,0,0.36821582893654287,-0.92974034188077204,0
